Temperature (C),density (kg/m^3),Cp (kJ/kg.K),k (W/m.K),nu (mm^2/s),beta (1/K),Pr
-150.,2.793,1.026,0.0116,3.08,8.21,0.76
-100.,1.980,1.009,0.0160,5.95,5.82,0.74
-50.0,1.534,1.005,0.0204,9.55,4.51,0.725
0.000,1.293,1.005,0.0243,13.30,3.67,0.715
20.00,1.205,1.005,0.0257,15.11,3.43,0.713
40.00,1.127,1.005,0.0271,16.97,3.20,0.711
60.00,1.067,1.009,0.0285,18.90,3.00,0.709
80.00,1.000,1.009,0.0299,20.94,2.83,0.708
100.0,0.946,1.009,0.0314,23.06,2.68,0.703
120.0,0.898,1.013,0.0328,25.23,2.55,0.70
140.0,0.854,1.013,0.0343,27.55,2.43,0.695
160.0,0.815,1.017,0.0358,29.85,2.32,0.69
180.0,0.779,1.022,0.0372,32.29,2.21,0.69
200.0,0.746,1.026,0.0386,34.63,2.11,0.685
250.0,0.675,1.034,0.0421,41.17,1.91,0.68
300.0,0.616,1.047,0.0454,47.85,1.75,0.68
350.0,0.566,1.055,0.0485,55.05,1.61,0.68
400.0,0.524,1.068,0.0515,62.53,1.49,0.68
